time_ns,track_id,velocity_x,velocity_y,position_x,position_y,dynprog
1693550775.215699328,1,0,0,27.4,13.2,1,
1693550775.215699328,3,0,0,27,-2.8,1,
1693550775.215699328,4,0,0.75,6.6,-3,1,
1693550775.215699328,5,0,0,138,-0.6,1,
1693550775.215699328,6,0,0,83.2,-9.2,1,
1693550775.215699328,7,0,0,23.8,-1.6,1,
1693550775.215699328,9,0,-2.5,89.4,13,1,
1693550775.215699328,14,0,0,77.6,26.2,1,
1693550775.215699328,16,0,-0.25,90.2,58.2,1,
1693550775.215699328,19,0,0,97,13.8,1,
1693550775.215699328,20,0,0,110.4,13.2,1,
1693550775.215699328,21,0,0,104,13.4,1,
1693550775.215699328,22,0,0,58.2,-9.4,1,
1693550775.215699328,25,0,0,64.8,14.6,1,
1693550775.215699328,28,0,0,114.8,12.4,1,
1693550775.215699328,29,0,-0.25,58.4,20.8,1,
1693550775.215699328,31,0,0,42,18.8,1,
1693550775.215699328,32,0,-1.5,33.8,13.6,1,
1693550775.215699328,33,0,0,17.4,10.6,1,
1693550775.215699328,35,0,-0.25,65.4,-29.8,1,
1693550775.215699328,36,0,-0.25,88.2,-8.4,1,
1693550775.215699328,37,0,0,2.4,-2.2,1,
1693550775.215699328,40,0,0,49.2,33.2,1,
1693550775.215699328,41,0,0,94.8,0.8,1,
1693550775.215699328,42,0,0,75.6,-9.4,1,
1693550775.215699328,44,0,0.5,92.8,16.8,1,
1693550775.215699328,45,0,0,108.6,29.2,1,
1693550775.215699328,46,0,0,3.2,-4.6,1,
1693550775.215699328,47,0,0,83,13,1,
1693550775.215699328,49,0,-0.25,113,17.8,1,
1693550775.215699328,51,0,0,12.6,-17,1,
1693550775.215699328,52,0,0,117.2,16.4,1,
1693550775.215699328,53,0,0,29.8,19.6,1,
1693550775.215699328,54,0,0,57.6,-27,1,
1693550775.215699328,55,0,0,98.8,19.2,1,
1693550775.215699328,56,0,0,91,-10.6,1,
1693550775.215699328,57,0,0,113.2,-6.2,1,
1693550775.215699328,58,0,0,13.8,-2,1,
1693550775.215699328,60,0,0,58.6,37.8,1,
1693550775.215699328,61,0,0,65.2,-27,1,
1693550775.215699328,62,0,0,18,6.6,1,
1693550775.215699328,63,0,0,61,17.6,1,
1693550775.215699328,64,0,0,42.2,-46,1,
1693550775.215699328,65,0,0,80.6,-9.6,1,
1693550775.215699328,66,0,0,48,-70.8,1,
1693550775.215699328,67,0,0,15.4,-6.6,1,
1693550775.215699328,68,0,0.25,25.4,21,1,
1693550775.215699328,71,0,0,43.6,21.2,1,
1693550775.215699328,72,0,0,99.6,22.4,1,
1693550775.215699328,74,0,0,33.6,-4.6,1,
1693550775.215699328,75,0,0,71.4,15.8,1,
1693550775.215699328,76,0,0,20.4,17,1,
1693550775.215699328,77,0,0,77.8,-1.6,1,
1693550775.215699328,79,0,0.5,61.8,45.6,1,
1693550775.215699328,80,0,0,55,-6.2,1,
1693550775.215699328,83,0,0,67.8,4,1,
1693550775.215699328,88,0,0,60.6,-3,1,
1693550775.215699328,92,0,0,83,42.8,1,
1693550775.215699328,94,0,0,68.6,-11.6,1,
1693550775.215699328,98,0,0,66.6,23,1,
